kr_1_test,kr_1_duration,kr_1_1,kr_1_2,kr_1_3,kr_1_3_rescale,kr_1_4a,kr_1_4b,kr_1_open,kr_1_sum,fisher,suspected,k_11_lms,k_12_lms,k_13_lms,k_14_lms,kr_2_test,kr_2_duration,kr_2_1,kr_2_2,kr_2_3,k2_open,k2_sum,domashka,auditorka,exam,exam_10,unround,Itog,V38,kr3_min,kr3_1,kr3_2,kr3_3,kr3_4,kr3_5,kr3_sum,sex,ip
14,41 мин. 4 сек.,5,5,10,10,3,,23,65,"0,65",0,5,5,10,3,7,1 ч. 10 мин.,1,0,0,1,24,10,7,7,1,"4,098",4,,10,,,,,,10,male,0
9,45 мин. 1 сек.,0,0,10,10,7,,17,44,"0,61",0,0,0,10,7,5,1 ч. 10 мин.,4,0,0,4,21,9,8,17,5,"4,588",5,,20,4,10,0,5,21,60,male,0
15,35 мин. 59 сек.,0,5,13,13,9,,27,72,"0,63",0,0,5,13,9,16,1 ч. 10 мин.,0,0,10,10,63,10,10,22,6,"7,013",7,,30,5,0,0,3,4,42,female,0
12,44 мин. 26 сек.,10,5,2,2,6,,23,59,"0,61",0,10,5,2,6,14,1 ч. 8 мин.,2,0,0,2,49,9,5,14,4,"5,320",5,,20,5,0,5,2,0,32,male,0
16,40 мин. 25 сек.,5,5,15,15,10,,35,83,"0,58",0,5,5,15,10,15,1 ч. 3 мин.,6,10,10,26,76,0,0,7,1,"4,673",5,,10,0,0,0,0,0,10,male,0
11,36 мин. 17 сек.,1,5,11,11,8,,25,58,"0,57",0,1,5,11,8,17,1 ч. 7 мин.,0,0,10,10,67,9,9,11,3,"5,688",6,,0,0,1,0,0,0,1,male,0
8,44 мин. 47 сек.,10,5,15,15,0,,30,54,"0,44",1,10,5,15,0,8,1 ч. 10 мин.,,,,0,27,9,4,21,6,"5,128",5,,,0,0,0,0,0,0,female,0
18,39 мин. 24 сек.,,,,0,,21,,"75,0","0,72",0,,,0,21,20,56 мин. 39 сек.,4,8,4,16,83,10,10,21,10,"8,845",9,,30,5,10,10,4,30,89,male,1
15,39 мин. 42 сек.,10,5,11,7,0,5,27,"72,3","0,62",0,10,5,7,5,21,1 ч. 7 мин.,2,7,5,14,84,7,7,25,8,"7,749",8,,25,5,2,4,4,11,51,male,1
16,29 мин. 31 сек.,10,5,11,7,0,5,27,"75,3","0,64",0,10,5,7,5,11,1 ч. 9 мин.,0,9,0,9,46,10,10,18,5,"6,337",6,,10,3,8,4,3,0,28,male,1
10,45 мин. 1 сек.,10,5,0,0,7,,22,52,"0,58",0,10,5,0,7,1,1 ч. 9 мин.,,,,0,3,9,10,10,2,"3,513",4,,,,,,,,0,female,0
11,38 мин. 9 сек.,10,5,15,15,8,,38,71,"0,46",1,10,5,15,8,16,1 ч. 5 мин.,4,7,0,11,64,8,8,8,2,"5,513",6,,,,,,,,0,female,0
15,44 мин. 46 сек.,10,0,2,1,0,0,11,"56,3","0,80",0,10,0,1,0,9,1 ч. 10 мин.,,,,0,30,6,6,20,6,"5,074",5,,30,5,0,4,0,0,39,female,1
13,45 мин. 2 сек.,5,5,8,8,0,,18,57,"0,68",0,5,5,8,0,15,1 ч. 10 мин.,1,10,0,11,61,9,5,9,2,"4,995",5,,10,,,,,,10,male,0
17,36 мин. 54 сек.,10,5,9,6,0,5,26,"77,0","0,66",0,10,5,6,5,20,1 ч. 7 мин.,10,5,0,15,82,10,10,22,6,"7,673",8,,30,5,3,10,5,17,70,female,1
15,45 мин.,5,5,15,15,10,,35,80,"0,56",0,5,5,15,10,18,1 ч. 5 мин.,9,2,0,11,71,10,8,19,5,"7,053",7,,20,0,8,0,4,4,36,female,0
16,41 мин. 34 сек.,10,5,12,8,0,5,28,"76,0","0,63",0,10,5,8,5,17,1 ч. 9 мин.,4,8,1,13,70,9,9,18,5,"6,865",7,,25,5,1,4,3,1,39,female,1
,"",0,0,0,0,0,,0,0,"1,00",0,0,0,0,0,,"",,,,0,0,0,0,,,"0,000",0,,,,,,,,0,female,0
12,34 мин. 57 сек.,,,,,,,0,"36,0","1,00",0,,,,0,14,1 ч. 9 мин.,10,4,1,15,62,9,1,11,3,"4,545",5,,,,,,,,0,female,0
11,39 мин. 36 сек.,0,5,15,15,10,,30,63,"0,52",0,0,5,15,10,,"",,,,0,0,9,0,,,"2,633",3,,,,,,,,0,male,0
